id1,id2,FieldOfStudyName1,FieldOfStudyName2,distance
terms4,terms109,bio,soc,0.3280244035830391
terms4,terms110,bio,soc,0.24020825250845662
terms4,terms111,bio,soc,0.2507987285001517
terms4,terms112,bio,soc,0.4440720749211349
terms4,terms113,bio,soc,0.3264965606262945
terms4,terms114,bio,soc,0.2385372159215065
terms4,terms115,bio,soc,0.384187464857868
terms4,terms116,bio,soc,0.3522783144139337
terms4,terms117,bio,soc,0.35383612561587807
terms4,terms118,bio,soc,0.3252691305147268
terms4,terms119,bio,soc,0.3499999977648259
terms4,terms120,bio,soc,0.2500000044703484
terms4,terms121,bio,soc,0.23345235040708648
terms4,terms122,bio,soc,0.3748333023622039
terms4,terms123,bio,soc,0.2475883716317827
terms4,terms124,bio,soc,0.3612478411999385
terms4,terms125,bio,soc,0.3827531911488339
terms4,terms126,bio,soc,0.33301651464821436
terms4,terms127,bio,soc,0.291204396226207
terms4,terms128,bio,soc,0.3534119572335062
terms4,terms129,bio,soc,0.2973213730619324
terms4,terms130,bio,soc,0.42438189781128205
terms4,terms131,bio,soc,0.11661904359573359
terms4,terms132,bio,soc,0.288444106955197
terms4,terms133,bio,soc,0.44553340077448006
terms4,terms134,bio,soc,0.4720169397184475
terms4,terms135,bio,soc,0.40816664076575027
terms4,terms136,bio,soc,0.3820994625549012
terms4,terms137,bio,soc,0.2860069929110818
terms4,terms138,bio,soc,0.23345235040708648
terms4,terms139,bio,soc,0.23323808016376507
terms4,terms140,bio,soc,0.288444106955197
terms4,terms141,bio,soc,0.2842534127261206
terms4,terms142,bio,soc,0.327566785163487
terms4,terms143,bio,soc,0.3124099929316716
terms4,terms144,bio,soc,0.4244997168459697
terms4,terms145,bio,soc,0.43829213527686794
terms4,terms146,bio,soc,0.42201895821250146
terms4,terms147,bio,soc,0.3753664878762318
terms4,terms148,bio,soc,0.3764306108755429
terms4,terms149,bio,soc,0.39204591751027335
terms4,terms150,bio,soc,0.26248809513276367
terms4,terms151,bio,phy,0.21260291763544967
terms4,terms152,bio,phy,0.19697716014367284
terms4,terms153,bio,phy,0.16970563027700025
terms4,terms154,bio,phy,0.19416488277928343
terms4,terms155,bio,phy,0.27294688439096054
terms4,terms156,bio,phy,0.18973666538249986
terms4,terms157,bio,phy,0.12083046551362306
terms4,terms158,bio,phy,0.1984943386737106
terms4,terms159,bio,phy,0.1140175471494739
terms4,terms160,bio,phy,0.2507987314708927
terms4,terms161,bio,phy,0.2000000029802323
terms4,terms162,bio,phy,0.14560220348603725
terms4,terms163,bio,phy,0.15000000596046448
terms4,terms164,bio,phy,0.2580697622032629
terms4,terms165,bio,phy,0.1860107552292682
terms4,terms166,bio,phy,0.2720294131327079
terms4,terms167,bio,phy,0.11180340553899137
terms4,terms168,bio,phy,0.1565247632563867
terms4,terms169,bio,phy,0.20518285005095427
terms4,terms170,bio,phy,0.22627417150751855
terms4,terms171,bio,phy,0.12165524972406
terms4,terms172,bio,phy,0.1969771580633203
terms4,terms173,bio,phy,0.1860107552292682
terms4,terms174,bio,phy,0.14035669476123155
terms4,terms175,bio,phy,0.1746424917950824
terms4,terms176,bio,phy,0.20223749069343183
terms4,terms177,bio,phy,0.2778488847069086
terms4,terms178,bio,phy,0.17464248795551135
terms4,terms179,bio,phy,0.14422205554401785
terms4,terms180,bio,phy,0.21931712516077775
terms4,terms181,bio,phy,0.20615528742478917
terms4,terms182,bio,phy,0.10295630345060358
terms4,terms183,bio,phy,0.15811388819179603
terms4,terms184,bio,phy,0.2842534162646125
terms4,terms185,bio,phy,0.2690724857262829
terms4,terms186,bio,phy,0.18439089209552842
terms4,terms187,bio,phy,0.13453624369383754
terms4,terms188,bio,phy,0.15620499479642497
terms4,terms189,bio,phy,0.18384776082284657
terms4,terms190,bio,phy,0.28460499483413926
terms4,terms191,bio,phy,0.07810249787518701
terms4,terms192,bio,phy,0.260768101522437
terms4,terms193,bio,phy,0.13341664673389422
terms4,terms194,bio,phy,0.16970563027700025
terms4,terms195,bio,phy,0.212602920964685
terms4,terms196,bio,phy,0.1788854375335831
terms4,terms197,bio,phy,0.1081665435952815
terms4,terms198,bio,phy,0.1523154687404312
terms4,terms199,bio,phy,0.2088061222996677
terms4,terms200,bio,phy,0.20880612658148462
terms5,terms51,bio,comp,0.2507987314708927
terms5,terms52,bio,comp,0.16763055306271246
terms5,terms53,bio,comp,0.3612478520278367
